Year,GNI (current US$)
1994,565894585788.206
1995,726418043788.258
1996,856086142040.551
1997,956749708708.89
1998,1020490742917.16
1999,1089372753903.3
2000,1209090434696.9
2001,1335863134143.64
2002,1474876576017.01
2003,1673684677258.3
2004,1979064133594.61
2005,2301443793302.11
2006,2786356399836.56
2007,3612096538009.96
2008,4695911654845.43
2009,5181045920787.14
2010,6166492055190.13
2011,7601379935590.42
2012,8653847951304.22
2013,9665296804684.75
2014,10687833547166
2015,11228032678981.8
2016,11400323697361.9
2017,12521428872625.2
2018,14086737564950.9
