Year,"Inflation, consumer prices (annual %)"
1994,24.2569897243361
1995,16.7912251650916
1996,8.31316028893908
1997,2.78646505531882
1998,-0.773186012
1999,-1.401472683
2000,0.347811226864583
2001,0.719125609120118
2002,-0.731970902
2003,1.12760348729637
2004,3.8246374310816
2005,1.7764140766757
2006,1.6494309945586
2007,4.81676767378834
2008,5.92525137041092
2009,-0.728165251
2010,3.17532475269199
2011,5.55389892257491
2012,2.61952432645539
2013,2.62105001748119
2014,1.92164162788522
2015,1.43702380935656
2016,2.00000182191942
2017,1.59313600071433
2018,2.07479039965575
