Year,Population growth (annual %)
1994,1.2262960888682
1995,1.19078709090209
1996,1.16341161998189
1997,1.20396029701272
1998,1.16571452642589
1999,1.14834004729055
2000,1.11276899679534
2001,0.989741382223669
2002,0.927797485710314
2003,0.859481712840946
2004,0.925483968943482
2005,0.921713167161207
2006,0.964253917136075
2007,0.951055242772428
2008,0.945865287282592
2009,0.876651298802912
2010,0.846129865832117
2011,0.79239433316435
2012,0.79838290137163
2013,0.756560083436754
2014,0.796023797809134
2015,0.797904713382564
2016,0.785625485688815
2017,0.692906252591617
2018,0.586433075122573
