Year,GNI (current US$)
1994,7310202000000
1995,7667701000000
1996,8103991000000
1997,8600853000000
1998,9080228000000
1999,9662075000000
2000,10289432000000
2001,10632293000000
2002,10974902000000
2003,11514946000000
2004,12293909000000
2005,13113997000000
2006,13862043000000
2007,14569892000000
2008,14915076000000
2009,14628310000000
2010,15254604000000
2011,15837664000000
2012,16486660000000
2013,17110921000000
2014,17843297000000
2015,18515147000000
2016,19036279000000
2017,19905052000000
2018,20946823000000
