Year,General government final consumption expenditure (current US$)
1994,1108101000000
1995,1141743000000
1996,1172889000000
1997,1220529000000
1998,1267608000000
1999,1351428000000
2000,1437588000000
2001,1538151000000
2002,1645818000000
2003,1746378000000
2004,1851920000000
2005,1962027000000
2006,2072954000000
2007,2198533000000
2008,2353441000000
2009,2433429000000
2010,2511047000000
2011,2511311000000
2012,2515440000000
2013,2530744000000
2014,2562276000000
2015,2603988000000
2016,2653374000000
2017,2715714000000
2018,2859732000000
